club,player,position_as_stated,statement_paraphrase,source_type,source_url,datePublished_utc,dateModified_utc,retrieved_utc,raw_sha256,raw_file
ATL,Tua Tagovailoa,QB,Officially listed inactive (oblique); was doubtful on Friday report,OFFICIAL_TEAM_SITE,https://www.atlantafalcons.com/news/atlanta-falcons-week-2-inactives-vs-carolina-panthers,2026-09-20T15:28:34.761Z,2026-09-20T15:28:34.761Z,2026-09-20T16:14:07.562401Z,07f4aec9abcf544d1964daf534c6f22575ac6230f53a15623748a16156f611f0,raw/team_https_www_atlantafalcons_com_news_atlanta_falcons_week_2_inactives_vs_carolina_panthers.html
ATL,Chris Lindstrom,RG,Not on inactive list; available vs. Panthers after concussion protocol (team-site statement),OFFICIAL_TEAM_SITE,https://www.atlantafalcons.com/news/atlanta-falcons-week-2-inactives-vs-carolina-panthers,2026-09-20T15:28:34.761Z,2026-09-20T15:28:34.761Z,2026-09-20T16:14:07.562401Z,07f4aec9abcf544d1964daf534c6f22575ac6230f53a15623748a16156f611f0,raw/team_https_www_atlantafalcons_com_news_atlanta_falcons_week_2_inactives_vs_carolina_panthers.html
ATL,Divine Deablo,ILB,Game status changed Sunday morning to questionable (illness); not listed inactive (team-site statement),OFFICIAL_TEAM_SITE,https://www.atlantafalcons.com/news/atlanta-falcons-week-2-inactives-vs-carolina-panthers,2026-09-20T15:28:34.761Z,2026-09-20T15:28:34.761Z,2026-09-20T16:14:07.562401Z,07f4aec9abcf544d1964daf534c6f22575ac6230f53a15623748a16156f611f0,raw/team_https_www_atlantafalcons_com_news_atlanta_falcons_week_2_inactives_vs_carolina_panthers.html
ATL,Cooper Rush,QB,Named starting QB vs. Panthers; Jack Strand backup,OFFICIAL_TEAM_SITE,https://www.atlantafalcons.com/news/cooper-rush-starting-qb-falcons-vs-panthers,2026-09-18T18:26:58.9Z,2026-09-18T18:28:08.481Z,2026-09-20T16:14:07.564782Z,a6d2c36b59ce9719a547e3335ac835046b01c6d69d01350fb85e7b55f963aafc,raw/team_https_www_atlantafalcons_com_news_cooper_rush_starting_qb_falcons_vs_panthers.html
ATL,Zach Harrison,DL,Elevated from practice squad for home opener,OFFICIAL_TEAM_SITE,https://www.atlantafalcons.com/news/zach-harrison-elevated-falcons-home-opener-vs-panthers,2026-09-19T19:58:41.723Z,2026-09-19T19:58:41.723Z,2026-09-20T16:14:07.566604Z,50b1a7bd91fc0250522d8601c230f6dff7bb541964c113123dd19cc5805f21ed,raw/team_https_www_atlantafalcons_com_news_zach_harrison_elevated_falcons_home_opener_vs_panthers.html
ATL,Michael Penix Jr.,QB,Ruled out (knee) on Friday injury report,OFFICIAL_TEAM_SITE,https://www.atlantafalcons.com/news/falcons-injury-report-michael-penix-jr-ruled-out-vs-panthers,NOT_STATED,NOT_STATED,2026-09-20T16:16:07.097902Z,ef55b90f18ad138c27136ee066e1312ffa77d28673a6cbf2362147fe5101ae92,raw/extra_https_www_atlantafalcons_com_news_falcons_injury_report_michael_penix_jr_ruled_out_vs_pant.html
CAR,Patrick Jones II,OLB,"Questionable (back) then listed inactive; rotation of Trevis Gipson, Princely Umanmielen, Thomas Incoom in his spot (team-site statement)",OFFICIAL_TEAM_SITE,https://www.panthers.com/news/week-2-inactives-at-atlanta-pat-jones-out-for-falcons-game-bobby-brown-panthers-falcons,2026-09-20T15:33:02.066Z,2026-09-20T15:33:02.066Z,2026-09-20T16:14:07.559867Z,98e2120fc11bdf059f8298b56ea9363d564800cab45eea10a66b128e8c4a9894,raw/team_https_www_panthers_com_news_week_2_inactives_at_atlanta_pat_jones_out_for_falcons_game_bob.html
CAR,Bobby Brown III,DT,Inactive (back); Cam Jackson active this week (team-site statement),OFFICIAL_TEAM_SITE,https://www.panthers.com/news/week-2-inactives-at-atlanta-pat-jones-out-for-falcons-game-bobby-brown-panthers-falcons,2026-09-20T15:33:02.066Z,2026-09-20T15:33:02.066Z,2026-09-20T16:14:07.559867Z,98e2120fc11bdf059f8298b56ea9363d564800cab45eea10a66b128e8c4a9894,raw/team_https_www_panthers_com_news_week_2_inactives_at_atlanta_pat_jones_out_for_falcons_game_bob.html
CAR,Bobby Brown III,DT,Ruled out on Friday injury report,OFFICIAL_TEAM_SITE,https://www.panthers.com/news/week-2-friday-injury-report-bobby-brown-ruled-out,NOT_STATED,NOT_STATED,2026-09-20T16:16:07.096123Z,733f70dafa68afaff5afaf92a018d1c7c45efa1f1a57a3044e7bdfd944e81600,raw/extra_https_www_panthers_com_news_week_2_friday_injury_report_bobby_brown_ruled_out.html
NO,Kevin Austin Jr.; Scott Daly,WR; LS,Elevated from practice squad for Week 2,OFFICIAL_TEAM_SITE,https://www.neworleanssaints.com/news/new-orleans-saints-roster-moves-announced-transactions-2026-nfl-week-2-elevations,2026-09-19T18:10:23.438Z,2026-09-19T18:10:23.438Z,2026-09-20T16:14:07.569372Z,cd4f66fa02b389445e77a4b0c64f19268c2f10426c7321b6c9eb0b861b3e163a,raw/team_https_www_neworleanssaints_com_news_new_orleans_saints_roster_moves_announced_transactions.html
